canonical_name,alias1,alias2,alias3,alias4,alias5
SQL,sql,SQL Server,T-SQL,MySQL,PL/SQL
Python,python,py,Python3,pyspark,PySpark
Power BI,power bi,powerbi,power-bi,power bi dax,dax query lang
Excel,excel,ms excel,advanced excel,pivot table,vba
Tableau,tableau,alteryx tableau,visual query language,,
R,r programming,r language,,,
Machine Learning,ml,machine learning,artificial intelligence,ai,deep learning
Java,java,,,
AWS,aws,amazon web services,,,
GCP,gcp,google cloud,,,
Azure,azure,ms azure,azure cloud,,
Postgres,postgres,postgresql,,,
MongoDB,mongodb,mongo,,,
Spark,spark,apache spark,,,
Hadoop,hadoop,,,
TensorFlow,tensorflow,tf,,,
Statistics,statistics,stats,statistical analysis,,
Data Visualization,data visualization,dataviz,visualization,charts,
ETL,etl,etl processing,elt,e.t.l,
Git,git,github,version control,,
NumPy,numpy,e numpy,nd arrays,,
Pandas,pandas,pandas df,pandas module,,
SciPy,scipy,,,
Matplotlib,matplotlib,,,
Seaborn,seaborn,,,
Alteryx,alteryx,altreyx,alterix,,
Qlik,qlik,,,
Looker,looker,looker tool,,,
Metabase,metabase,,,
Databricks,databricks,,,
Data Warehousing,data warehousing,datawarehousing,data warehouse,,
Airflow,airflow,apache airflow,air flow,data pipeline tool,
Data Analysis,data analysis,data analyst,data analytics,,
Data Governance,data governance,,,
Data Quality,data quality,,,
Snowflake,snowflake,,,
NoSQL,nosql,,,
Automation,automation,rpa,uipath,power automate,
DAX,dax,,,
Reporting,reporting,financial reporting,business reporting,,
